Playoff,Rank,PlayoffProgScore,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,POSS,OFFRTG,DEFRTG,NETRTG,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,AvgPIE_NextYearPlayers,CER_NextYearCoach,PlayoffNextSeason
0.0,7.0,0.0,34.0,4.0,30.0,11.76470588235294,6825.0,2534.0,895.0,2258.0,39.636846767050486,202.0,598.0,33.77926421404682,542.0,725.0,74.75862068965517,340.0,737.0,1077.0,492.0,593.0,285.0,142.0,134.0,796.0,726.0,2721.914350378644,93.09624307787261,105.77114594364454,-12.674902865771926,0.8296795952782462,18.075513652057353,5.647840531561462,12.952548330404218,9.197267292912041,18.706624605678233,44.10983170947741,49.16569654637175,79.76305788655367,0.11853261840727278,0.04,1
0.0,8.0,0.0,32.0,8.0,24.0,25.0,6475.0,2186.0,812.0,1903.0,42.669469259064634,131.0,386.0,33.93782383419689,431.0,577.0,74.69670710571924,305.0,630.0,935.0,551.0,496.0,222.0,90.0,123.0,713.0,596.0,2260.639241496863,96.6983125778423,107.44748456156401,-10.749171983721709,1.1108870967741935,24.373636884899867,6.295149638802889,13.179916317991632,9.714285714285714,18.696661741202014,46.11140304781923,50.67504914506138,69.82669471804984,0.10241628814386461,0.09,1
1.0,4.0,3.0,32.0,18.0,14.0,56.25,6500.0,2055.0,746.0,1780.0,41.91011235955056,153.0,428.0,35.74766355140187,410.0,528.0,77.65151515151516,309.0,639.0,948.0,467.0,474.0,217.0,114.0,124.0,605.0,579.0,2087.801725811397,98.42888692897075,96.22561257435633,2.203274354614422,0.9852320675105485,22.368024426194328,7.054794520547945,13.001017293997965,10.199031737493275,19.064319958814636,46.20786516853933,51.06046752007634,64.24005310188915,0.08599869091201925,0.32,1
1.0,2.0,1.0,32.0,18.0,14.0,56.25,6450.0,2241.0,770.0,1790.0,43.01675977653631,211.0,527.0,40.03795066413662,490.0,663.0,73.90648567119156,302.0,653.0,955.0,496.0,408.0,241.0,105.0,103.0,647.0,600.0,2116.6465685837065,105.87502104801092,100.77261039509473,5.102410652916191,1.2156862745098038,23.433293368948423,6.550976138828633,13.776371308016877,10.213903743315509,16.387384926819077,48.910614525139664,53.825682608612105,65.63245173902966,0.10188030394992618,0.23842105263157895,1
1.0,2.0,1.0,34.0,18.0,16.0,52.94117647058824,6850.0,2217.0,787.0,1881.0,41.839447102605,187.0,517.0,36.17021276595745,456.0,590.0,77.28813559322035,342.0,629.0,971.0,499.0,497.0,279.0,115.0,104.0,697.0,606.0,2191.7945615763547,101.14999091910866,100.14624721129613,1.0037437078125322,1.0040241448692153,22.766732281747956,7.102803738317757,12.394088669950738,9.817997977755308,18.842887473460724,46.81020733652312,51.78454638886294,63.99400179784977,0.09640322663700156,0.17,0
0.0,5.0,0.0,34.0,16.0,18.0,47.05882352941176,6900.0,2092.0,745.0,1744.0,42.71788990825688,166.0,459.0,36.165577342047925,436.0,590.0,73.89830508474576,256.0,616.0,872.0,426.0,479.0,210.0,134.0,114.0,648.0,595.0,2150.1307729095392,97.29640756543951,100.83107629152623,-3.5346687260867213,0.8893528183716075,19.812748385696572,5.791855203619909,12.520325203252032,9.336188436830835,19.294288246193506,47.477064220183486,52.20602914753444,62.32263109882722,0.10147208050748516,0.15,0
0.0,6.0,0.0,34.0,6.0,28.0,17.647058823529413,6945.0,2095.0,772.0,1913.0,40.35546262415055,104.0,301.0,34.55149501661129,447.0,624.0,71.63461538461539,316.0,609.0,925.0,493.0,535.0,284.0,113.0,146.0,727.0,654.0,2308.233007931192,90.76206746898976,101.159631284053,-10.39756381506325,0.9214953271028037,21.358329003442456,6.2204724409448815,12.634854771784232,9.343434343434344,19.650622943112364,43.07370622059592,47.8844008850043,66.47179288498752,0.10425070573449002,0.1,0
0.0,7.0,0.0,34.0,5.0,29.0,14.705882352941178,6800.0,2322.0,858.0,2175.0,39.44827586206897,157.0,536.0,29.291044776119403,449.0,643.0,69.82892690513219,357.0,680.0,1037.0,509.0,527.0,277.0,125.0,120.0,674.0,584.0,2535.944281659028,91.56352593365874,105.95658664243798,-14.393060708779245,0.9658444022770398,20.07141890621546,5.866885784716516,12.842304060434373,9.112478031634446,17.655414550473715,43.05747126436781,47.23506053899232,74.58659651938318,0.10477384692836936,0.256,0
0.0,6.0,0.0,34.0,14.0,20.0,41.17647058823529,6972.0,2525.0,925.0,2277.0,40.62362758014932,186.0,544.0,34.19117647058824,489.0,723.0,67.63485477178423,383.0,782.0,1165.0,597.0,510.0,262.0,112.0,138.0,634.0,683.0,2622.0398516191744,96.2990702998183,99.5789594268616,-3.2798891270433046,1.1705882352941177,22.76853266098674,6.232709519934907,13.47114556416882,9.748953974895397,16.424486010202504,44.707949055775146,48.649002743611085,75.21628948993614,0.10108568528915361,0.27,0
0.0,5.0,0.0,34.0,12.0,22.0,35.294117647058826,6875.0,2472.0,899.0,2100.0,42.80952380952381,110.0,341.0,32.25806451612903,564.0,812.0,69.45812807881774,357.0,770.0,1127.0,548.0,525.0,269.0,149.0,124.0,639.0,681.0,2547.4428906125722,97.0384854989063,98.5301774280966,-1.4916919291902957,1.0438095238095237,21.511767820954955,6.203301476976542,13.556338028169014,9.85570616528203,17.603980846868836,45.42857142857143,50.299518166427916,74.10742954509301,0.10777391354705525,0.11,0
1.0,2.0,2.0,32.0,17.0,15.0,53.125,6500.0,2185.0,809.0,1828.0,44.25601750547046,141.0,407.0,34.64373464373464,426.0,570.0,74.73684210526315,331.0,603.0,934.0,539.0,538.0,259.0,91.0,95.0,647.0,693.0,2209.2260563707464,98.90341432915451,96.05173693659765,2.8516773925568657,1.0018587360594795,24.397684358542005,7.141316073354909,13.704545454545455,10.337576092971776,20.55946193824518,48.11269146608315,52.55435828362517,67.97618634986912,0.08313952962746643,0.31,1
1.0,1.0,1.0,32.0,22.0,10.0,68.75,6425.0,2004.0,763.0,1770.0,43.10734463276836,106.0,335.0,31.64179104477612,372.0,505.0,73.66336633663366,297.0,662.0,959.0,503.0,444.0,267.0,83.0,127.0,532.0,597.0,2058.6093708724366,97.34726890661665,86.85474890470587,10.492520001910776,1.132882882882883,24.433970189634817,6.666666666666667,13.806047966631908,10.367567567567567,18.225104671209262,46.101694915254235,50.296155004517615,64.08122555244938,0.10078736837614527,0.63,0
