coachID,year,championship,win_ratio,post_win_ratio,COTY,CER,EMA_CER
laimbbi01w,10,0,0.3333,0.0,0,0.11,0.327
liebena01w,1,0,0.4375,0.0,0,0.14,0.14
maherto99w,2,0,0.3125,0.0,0,0.1,0.1
mahorri01w,10,0,0.5484,0.6,0,0.34,0.34
mcconsu01w,4,0,0.5294,0.3333,0,0.26,0.26
mcconsu01w,5,0,0.5294,0.0,1,0.49,0.413
mcconsu01w,6,0,0.4118,0.0,0,0.13,0.224
mcconsu01w,7,0,0.3913,0.0,0,0.12,0.155
mchugma99w,2,0,0.7,0.6,0,0.39,0.39
mchugma99w,3,0,0.4375,0.0,0,0.14,0.223
mchugma99w,4,0,0.3889,0.0,0,0.12,0.154
meadoma99w,9,0,0.1176,0.0,0,0.04,0.04
meadoma99w,10,0,0.5294,0.0,1,0.49,0.34
millech99w,1,0,0.625,0.0,0,0.2,0.2
overtbo99w,8,0,0.4118,0.0,0,0.13,0.13
peckca99wc,1,0,0.5,0.3333,0,0.25,0.25
peckca99wc,2,0,0.4062,0.0,0,0.13,0.17
plankju99w,10,0,0.4706,0.0,0,0.15,0.15
rollitr01w,8,0,0.5333,0.0,0,0.17,0.17
rollitr01w,9,0,0.3636,0.0,0,0.12,0.137
rothsro99w,1,0,0.4062,0.0,0,0.13,0.13
rothsro99w,2,0,0.625,0.3333,0,0.29,0.237
rothsro99w,3,0,0.4688,0.0,0,0.15,0.179
sharpli99w,3,0,0.2273,0.0,0,0.07,0.07
shumajo01w,4,0,0.2353,0.0,0,0.08,0.08
stanlma99w,3,0,0.5312,0.6,1,0.66,0.66
stanlma99w,4,0,0.2647,0.0,0,0.08,0.273
thibami99w,4,0,0.5294,0.5,0,0.31,0.31
thibami99w,5,0,0.5294,0.625,0,0.34,0.33
thibami99w,6,0,0.7647,0.625,0,0.42,0.39
thibami99w,7,0,0.7647,0.6,1,0.73,0.617
thibami99w,8,0,0.5294,0.3333,0,0.26,0.379
thibami99w,9,0,0.6176,0.3333,1,0.61,0.533
thibami99w,10,0,0.4706,0.0,0,0.15,0.278
thompka99w,5,0,0.7857,0.3333,0,0.34,0.34
thompka99w,8,0,0.3824,0.0,0,0.12,0.193
thompka99w,9,0,0.5,0.0,0,0.16,0.171
vandehe99w,3,0,0.3077,0.0,0,0.1,0.1
walkeda01w,1,0,0.4167,0.0,0,0.13,0.13
weisery99w,5,0,0.7857,0.3333,0,0.34,0.34
westhpa99w,7,0,0.5294,0.0,0,0.17,0.17
westhpa99w,8,1,0.6765,0.7778,0,0.91,0.663
whisejo99w,4,0,0.75,0.5,0,0.38,0.38
whisejo99w,5,0,0.5294,0.5,0,0.31,0.333
whisejo99w,6,1,0.7353,0.875,1,1.28,0.964
whisejo99w,7,0,0.6176,0.6667,0,0.38,0.575
whisejo99w,10,0,0.4286,0.0,0,0.14,0.285
willifr99w,1,0,0.5625,0.0,0,0.18,0.18
willifr99w,2,0,0.3846,0.0,0,0.12,0.14
willigr99w,2,0,0.3125,0.0,0,0.1,0.1
willigr99w,3,0,0.0,0.0,0,0.0,0.033
wintebr01w,5,0,0.4412,0.0,0,0.14,0.14
wintebr01w,6,0,0.6176,0.5,0,0.34,0.273
wintebr01w,7,0,0.6176,0.0,0,0.2,0.224
wintebr01w,8,0,0.6176,0.5,0,0.34,0.301
zierddo99w,8,0,0.2941,0.0,0,0.09,0.09
zierddo99w,9,0,0.4706,0.0,0,0.15,0.13
