playerID,year,tmID,PTS,FGM,FGA,FTM,FTA,DREB,OREB,AST,STL,BLK,PF,TO,GmPTS,GmFGM,GmFGA,GmFTM,GmFTA,GmDREB,GmOREB,GmAST,GmSTL,GmBLK,GmPF,GmTO,PIE
milleco01w,8,WAS,120,47,116,16,16,29,20,25,19,2,45,29,2585,877,2170,668,839,783,335,472,282,133,763,571,0.03915275994865212
milleco01w,9,WAS,179,77,217,10,16,39,46,47,26,5,63,58,2368,885,2131,435,659,770,362,483,241,93,757,637,0.04039167686658507
milleco01w,10,ATL,131,50,122,23,26,30,20,33,12,2,37,31,2861,1089,2428,569,755,855,404,547,329,121,741,590,0.037027770828121094
milleke01w,2,CHA,55,22,57,4,5,17,11,14,9,0,14,9,2055,746,1780,410,528,639,309,467,217,114,605,474,0.0305483989694516
milleke01w,3,CHA,211,79,177,29,38,37,31,49,22,1,39,27,2241,770,1790,490,663,653,302,496,241,105,647,408,0.1021115663410022
milleke01w,4,CHA,189,68,167,31,40,33,20,47,18,2,44,35,2217,787,1881,456,590,629,342,499,279,115,697,497,0.0775952464173366
milleke01w,5,IND,348,126,326,50,57,80,28,106,37,5,81,74,2198,791,2011,450,580,705,396,555,261,134,639,486,0.1494367130550033
milleke01w,6,IND,348,122,278,67,79,60,26,81,40,2,81,53,2170,784,1958,452,595,671,341,493,336,95,668,477,0.16900420757363255
milleke01w,7,PHO,296,109,259,48,62,103,41,94,28,6,74,73,2960,1079,2434,537,684,811,334,640,275,127,741,442,0.10463813578310553
milleke01w,8,PHO,321,115,240,64,82,121,47,156,42,5,94,86,3025,1063,2419,616,754,873,279,683,285,159,658,486,0.14017163874131588
milleke01w,9,PHO,283,107,262,49,58,98,50,135,22,4,66,84,3010,1069,2485,642,773,851,375,560,232,156,794,489,0.12018194876705769
milleke01w,10,MIN,150,54,149,20,22,55,19,67,24,2,56,50,2731,949,2257,591,766,762,325,509,301,128,693,513,0.05623471882640587
millsta01w,1,WAS,130,46,105,38,51,41,39,9,10,8,71,37,2176,832,1813,403,578,646,300,521,245,126,597,506,0.02172503242542153
millsta01w,2,WAS,64,23,69,18,31,65,40,6,14,4,72,25,1928,739,1915,333,504,699,356,424,257,127,537,495,0.012815036309269542
millsta01w,3,WAS,0,0,4,0,2,3,0,0,1,0,3,2,2135,806,1910,359,478,708,330,516,221,94,583,455,-0.0045721750489875895
millsta01w,4,SAS,58,20,49,18,31,28,27,7,4,2,58,23,2215,792,2068,538,736,795,350,428,187,167,728,513,-0.009841677364142062
millsta01w,8,DET,15,6,21,3,4,8,10,2,0,0,11,6,2697,972,2261,595,785,931,380,563,227,117,702,564,-0.00156128024980484
miltode01w,1,LAS,378,150,293,76,102,139,55,68,44,29,124,67,2417,861,1956,545,693,783,308,586,271,156,705,466,0.16586666666666666
miltode01w,2,LAS,330,134,296,50,63,98,71,68,49,29,101,58,2441,916,2031,449,594,755,350,596,281,138,616,438,0.13030454318522217
miltode01w,3,LAS,362,132,271,77,104,146,65,45,50,35,122,94,2452,891,2002,476,645,814,329,583,257,161,664,517,0.1433862433862434
miltode01w,4,LAS,416,139,328,115,143,161,59,64,49,41,109,79,2499,894,2140,537,678,813,336,587,242,161,682,470,0.18103215347203458
miltode01w,5,LAS,186,65,161,45,62,55,35,31,23,10,63,48,2495,904,2069,530,722,809,312,626,262,148,731,529,0.051800554016620495
miltode01w,6,WAS,394,138,331,79,99,127,45,58,57,18,117,75,2263,847,1968,388,546,677,266,517,260,76,697,435,0.17772511848341233
miltode01w,7,WAS,335,125,265,51,63,89,23,48,35,17,87,67,2747,1016,2199,528,715,770,330,576,306,113,784,541,0.11477538301739808
miltode01w,8,WAS,456,165,473,98,116,172,45,55,52,38,107,121,2585,877,2170,668,839,783,335,472,282,133,763,571,0.14281129653401797
miltode01w,9,LAS,431,165,344,72,93,132,64,73,34,18,109,99,2598,954,2248,539,717,896,386,613,251,216,713,608,0.16237942122186494
miltode01w,10,LAS,338,129,322,56,74,106,51,71,41,8,84,74,2533,973,2264,435,550,883,365,587,217,166,583,568,0.11226341716359865
mitchle01w,9,NYL,131,39,105,34,42,43,14,97,17,3,43,39,2573,912,2168,490,653,778,327,551,290,117,655,547,0.07836029001673174
mitchle01w,10,NYL,80,30,100,6,6,33,8,76,9,2,46,26,2512,900,2168,458,582,802,280,526,276,121,637,543,0.034967039266265404
moeggli01w,7,CHI,58,20,63,14,30,19,27,17,10,6,14,15,2322,858,2175,449,643,680,357,509,277,125,674,527,0.024677296886864084
moeggli01w,8,CHI,37,17,41,2,5,5,26,6,3,2,15,10,2525,925,2277,489,723,782,383,597,262,112,634,510,0.007722007722007722
moisead01w,2,PHO,41,14,36,9,12,12,4,17,6,0,11,16,2064,767,1894,429,587,642,300,514,292,138,625,519,0.019969278033794162
moisead01w,3,PHO,193,63,164,48,60,45,15,79,30,3,53,72,2091,793,1889,405,538,626,292,427,267,94,623,501,0.09432454036770584
moisead01w,8,PHO,7,2,5,2,2,4,3,3,3,0,2,10,3025,1063,2419,616,754,873,279,683,285,159,658,486,0.0014303228442991418
montaan01w,10,MIN,35,14,36,2,2,11,15,19,9,0,17,12,2731,949,2257,591,766,762,325,509,301,128,693,513,0.016571583808747622
montgre01w,10,MIN,306,102,250,60,72,51,15,72,25,9,37,66,2731,949,2257,591,766,762,325,509,301,128,693,513,0.11029611518609074
mooreja01w,3,IND,42,16,38,10,14,20,9,3,5,1,16,14,2097,731,1825,455,580,633,315,447,268,100,559,438,0.013226592412112773
mooreje01w,6,CHA,3,1,3,1,2,4,1,2,0,0,9,4,2095,772,1913,447,624,609,316,493,284,113,727,535,-0.00582698341550874
mooreje01w,6,LAS,8,4,8,0,0,4,4,1,4,0,21,5,2326,873,2042,456,630,683,321,551,264,136,737,492,-0.007429922323539345
mooreje01w,7,LAS,147,59,136,29,38,63,35,24,22,9,79,28,2575,962,2195,540,726,852,350,610,296,129,679,534,0.043803143519711416
mooreje01w,8,LAS,123,48,121,27,42,52,36,18,6,6,64,33,2533,940,2305,493,627,783,356,554,245,107,732,571,0.022661055357720946
mooreje01w,9,LAS,39,14,43,11,16,28,17,17,4,5,48,17,2598,954,2248,539,717,896,386,613,251,216,713,608,0.0
