coachID,year,championship,win_ratio,post_win_ratio,COTY
westhpa99w,7,0,0.5294,0.0,0
westhpa99w,8,1,0.6765,0.7778,0
whisejo99w,4,0,0.75,0.5,0
whisejo99w,5,0,0.5294,0.5,0
whisejo99w,6,1,0.7353,0.875,1
whisejo99w,7,0,0.6176,0.6667,0
whisejo99w,10,0,0.4286,0.0,0
willifr99w,1,0,0.5625,0.0,0
willifr99w,2,0,0.3846,0.0,0
willigr99w,2,0,0.3125,0.0,0
willigr99w,3,0,0.0,0.0,0
wintebr01w,5,0,0.4412,0.0,0
wintebr01w,6,0,0.6176,0.5,0
wintebr01w,7,0,0.6176,0.0,0
wintebr01w,8,0,0.6176,0.5,0
zierddo99w,8,0,0.2941,0.0,0
zierddo99w,9,0,0.4706,0.0,0
